id,name,year,month,val,vol,unit_value
Snap beans -2014-07,Snap beans,2014.0,7.0,2448.0,2476.0,0.99
Cabbage -2014-01,Cabbage,2014.0,1.0,2523.0,7711.0,0.33
Peppers ⁿ-2015-01,Peppers ⁿ,2015.0,1.0,6646.0,9553.0,0.7
Spinach -2016-09,Spinach,2016.0,9.0,0.0,0.0,0.0
Mushrooms Agaricus ⁿ-2016-12,Mushrooms Agaricus ⁿ,2016.0,12.0,0.0,0.0,0.0
Beets -2014-09,Beets,2014.0,9.0,469.0,850.0,0.55
Mushrooms other -2012-07,Mushrooms other,2012.0,7.0,227.0,74.0,3.05
Sweet potatoes -2015-04,Sweet potatoes,2015.0,4.0,15290.0,44041.0,0.35
Beets -2014-11,Beets,2014.0,11.0,1477.0,3039.0,0.49
Eggplant -2012-01,Eggplant,2012.0,1.0,833.0,1537.0,0.54
Celery -2015-07,Celery,2015.0,7.0,4825.0,15481.0,0.31
Eggplant -2012-11,Eggplant,2012.0,11.0,1207.0,2143.0,0.56
Green peas -2012-05,Green peas,2012.0,5.0,3198.0,1531.0,2.09
Endive/escarole -2013-10,Endive/escarole,2013.0,10.0,380.0,324.0,1.17
Onions bulb ⁿ-2015-04,Onions bulb ⁿ,2015.0,4.0,8344.0,27563.0,0.3
Carrots -2014-02,Carrots,2014.0,2.0,9405.0,18207.0,0.52
Celery -2014-12,Celery,2014.0,12.0,10208.0,26351.0,0.39
Cabbage -2014-10,Cabbage,2014.0,10.0,2275.0,7271.0,0.31
Vegetables other ⁿ-2012-12,Vegetables other ⁿ,2012.0,12.0,15231.0,24544.0,0.62
Lettuce other -2014-12,Lettuce other,2014.0,12.0,31974.0,43489.0,0.74
Sweet corn -2012-04,Sweet corn,2012.0,4.0,7351.0,24288.0,0.3
Sweet potatoes -2014-07,Sweet potatoes,2014.0,7.0,6862.0,18720.0,0.37
Cabbage -2013-01,Cabbage,2013.0,1.0,2522.0,7725.0,0.33
Garlic -2014-03,Garlic,2014.0,3.0,882.0,1024.0,0.86
Garlic -2015-05,Garlic,2015.0,5.0,955.0,1247.0,0.77
Tomatoes round -2014-10,Tomatoes round,2014.0,10.0,11120.0,15252.0,0.73
Mushrooms other -2015-02,Mushrooms other,2015.0,2.0,330.0,124.0,2.66
Truffles -2013-03,Truffles,2013.0,3.0,21.0,2.0,10.03
Snap beans -2013-02,Snap beans,2013.0,2.0,3527.0,3909.0,0.9
Cucumbers -2013-08,Cucumbers,2013.0,8.0,992.0,1892.0,0.52
Cucumbers -2015-04,Cucumbers,2015.0,4.0,1164.0,2218.0,0.52
Sweet potatoes -2015-12,Sweet potatoes,2015.0,12.0,12445.0,37466.0,0.33
Brussels sprouts -2012-10,Brussels sprouts,2012.0,10.0,614.0,805.0,0.76
Peppers ⁿ-2016-01,Peppers ⁿ,2016.0,1.0,7926.0,7425.0,1.07
Artichokes -2016-07,Artichokes,2016.0,7.0,0.0,0.0,0.0
Artichokes -2016-12,Artichokes,2016.0,12.0,0.0,0.0,0.0
Artichokes -2014-11,Artichokes,2014.0,11.0,229.0,248.0,0.92
Lettuce other -2014-05,Lettuce other,2014.0,5.0,36566.0,46888.0,0.78
Snap beans -2016-05,Snap beans,2016.0,5.0,0.0,0.0,0.0
Lettuce other -2016-07,Lettuce other,2016.0,7.0,0.0,0.0,0.0
Mushrooms other -2016-11,Mushrooms other,2016.0,11.0,0.0,0.0,0.0
Asparagus -2012-10,Asparagus,2012.0,10.0,573.0,278.0,2.06
Onions bulb ⁿ-2014-03,Onions bulb ⁿ,2014.0,3.0,13506.0,30141.0,0.45
Cucumbers -2012-07,Cucumbers,2012.0,7.0,842.0,1663.0,0.51
Broccoli -2013-10,Broccoli,2013.0,10.0,8367.0,12889.0,0.65
Carrots -2014-08,Carrots,2014.0,8.0,6180.0,10735.0,0.58
Mushrooms other -2013-11,Mushrooms other,2013.0,11.0,2321.0,472.0,4.92
Truffles -2014-04,Truffles,2014.0,4.0,8.0,9.0,0.89
Celery -2014-09,Celery,2014.0,9.0,3999.0,13241.0,0.3
Mushrooms other -2014-12,Mushrooms other,2014.0,12.0,865.0,222.0,3.89
Lettuce other -2016-05,Lettuce other,2016.0,5.0,0.0,0.0,0.0
Snap beans -2013-07,Snap beans,2013.0,7.0,2545.0,2062.0,1.23
Cauliflower -2014-04,Cauliflower,2014.0,4.0,14698.0,30728.0,0.48
Asparagus -2014-01,Asparagus,2014.0,1.0,2760.0,1505.0,1.83
Pumpkin/squash/gourds -2015-03,Pumpkin/squash/gourds,2015.0,3.0,1978.0,3503.0,0.56
Artichokes -2012-08,Artichokes,2012.0,8.0,324.0,398.0,0.81
Cabbage -2015-03,Cabbage,2015.0,3.0,3768.0,11984.0,0.31
Green peas -2013-04,Green peas,2013.0,4.0,1091.0,830.0,1.31
Lettuce other -2015-05,Lettuce other,2015.0,5.0,33504.0,43494.0,0.77
Carrots -2016-08,Carrots,2016.0,8.0,0.0,0.0,0.0
Mushrooms Agaricus ⁿ-2012-04,Mushrooms Agaricus ⁿ,2012.0,4.0,1702.0,1207.0,1.41
Broccoli -2015-04,Broccoli,2015.0,4.0,13457.0,23305.0,0.58
Sweet potatoes -2015-08,Sweet potatoes,2015.0,8.0,8427.0,24333.0,0.35
Spinach -2014-12,Spinach,2014.0,12.0,10664.0,7864.0,1.36
Brussels sprouts -2014-09,Brussels sprouts,2014.0,9.0,846.0,1201.0,0.7
Cauliflower -2012-03,Cauliflower,2012.0,3.0,12250.0,30930.0,0.4
Tomatoes cherry -2013-02,Tomatoes cherry,2013.0,2.0,640.0,1027.0,0.62
Lettuce head ⁿ-2016-07,Lettuce head ⁿ,2016.0,7.0,0.0,0.0,0.0
Vegetables other ⁿ-2013-06,Vegetables other ⁿ,2013.0,6.0,17076.0,22839.0,0.75
Endive/escarole -2014-07,Endive/escarole,2014.0,7.0,372.0,391.0,0.95
Mushrooms other -2015-08,Mushrooms other,2015.0,8.0,434.0,165.0,2.62
Green peas -2012-07,Green peas,2012.0,7.0,3473.0,1504.0,2.31
Tomatoes roma (plum) -2014-07,Tomatoes roma (plum),2014.0,7.0,926.0,1950.0,0.47
Tomatoes cherry -2013-05,Tomatoes cherry,2013.0,5.0,2068.0,2225.0,0.93
Cucumbers -2016-08,Cucumbers,2016.0,8.0,0.0,0.0,0.0
Snap beans -2016-07,Snap beans,2016.0,7.0,0.0,0.0,0.0
Green peas -2014-12,Green peas,2014.0,12.0,1070.0,613.0,1.74
Lettuce other -2014-02,Lettuce other,2014.0,2.0,24655.0,33593.0,0.73
Vegetables other ⁿ-2016-09,Vegetables other ⁿ,2016.0,9.0,0.0,0.0,0.0
Garlic -2012-06,Garlic,2012.0,6.0,541.0,643.0,0.84
Cabbage -2012-02,Cabbage,2012.0,2.0,2060.0,6442.0,0.32
Garlic -2013-02,Garlic,2013.0,2.0,985.0,1281.0,0.77
Lettuce other -2016-02,Lettuce other,2016.0,2.0,22573.0,34895.0,0.65
Eggplant -2012-09,Eggplant,2012.0,9.0,845.0,1614.0,0.52
Asparagus -2012-03,Asparagus,2012.0,3.0,7348.0,4596.0,1.6
Beets -2013-09,Beets,2013.0,9.0,518.0,979.0,0.53
Artichokes -2015-01,Artichokes,2015.0,1.0,234.0,254.0,0.92
Vegetables other ⁿ-2015-02,Vegetables other ⁿ,2015.0,2.0,21280.0,33998.0,0.63
Sweet corn -2014-01,Sweet corn,2014.0,1.0,1417.0,3335.0,0.42
Vegetables other ⁿ-2013-11,Vegetables other ⁿ,2013.0,11.0,19227.0,26520.0,0.72
Broccoli -2014-04,Broccoli,2014.0,4.0,14536.0,28586.0,0.51
Endive/escarole -2014-12,Endive/escarole,2014.0,12.0,565.0,674.0,0.84
Asparagus -2013-12,Asparagus,2013.0,12.0,482.0,209.0,2.31
Lettuce other -2012-05,Lettuce other,2012.0,5.0,34371.0,47283.0,0.73
Truffles -2016-07,Truffles,2016.0,7.0,0.0,0.0,0.0
Pumpkin/squash/gourds -2015-06,Pumpkin/squash/gourds,2015.0,6.0,2270.0,4543.0,0.5
Carrots -2014-04,Carrots,2014.0,4.0,13119.0,27852.0,0.47
Carrots -2013-11,Carrots,2013.0,11.0,6976.0,13043.0,0.53
Mushrooms Agaricus ⁿ-2013-08,Mushrooms Agaricus ⁿ,2013.0,8.0,1829.0,1407.0,1.3
Tomatoes cherry -2013-07,Tomatoes cherry,2013.0,7.0,727.0,1059.0,0.69
Sweet corn -2014-10,Sweet corn,2014.0,10.0,1909.0,4871.0,0.39
Celery -2012-04,Celery,2012.0,4.0,6067.0,24779.0,0.24
Tomatoes cherry -2012-08,Tomatoes cherry,2012.0,8.0,1651.0,3039.0,0.54
Cucumbers -2014-10,Cucumbers,2014.0,10.0,1762.0,3356.0,0.52
Sweet corn -2012-06,Sweet corn,2012.0,6.0,11457.0,40970.0,0.28
Tomatoes cherry -2014-07,Tomatoes cherry,2014.0,7.0,1210.0,1494.0,0.81
Sweet corn -2012-05,Sweet corn,2012.0,5.0,11699.0,37879.0,0.31
Cabbage -2016-09,Cabbage,2016.0,9.0,0.0,0.0,0.0
Tomatoes roma (plum) -2012-08,Tomatoes roma (plum),2012.0,8.0,997.0,2023.0,0.49
Lettuce other -2015-01,Lettuce other,2015.0,1.0,31038.0,34677.0,0.9
Potatoes -2016-12,Potatoes,2016.0,12.0,0.0,0.0,0.0
Spinach -2013-03,Spinach,2013.0,3.0,9228.0,7595.0,1.22
Eggplant -2016-08,Eggplant,2016.0,8.0,0.0,0.0,0.0
Pumpkin/squash/gourds -2014-09,Pumpkin/squash/gourds,2014.0,9.0,2549.0,3799.0,0.67
Tomatoes roma (plum) -2014-01,Tomatoes roma (plum),2014.0,1.0,1258.0,2419.0,0.52
Broccoli -2013-12,Broccoli,2013.0,12.0,11672.0,25631.0,0.46
Mushrooms Agaricus ⁿ-2014-04,Mushrooms Agaricus ⁿ,2014.0,4.0,1470.0,1080.0,1.36
Truffles -2013-05,Truffles,2013.0,5.0,8.0,1.0,6.56
Cauliflower -2012-02,Cauliflower,2012.0,2.0,9864.0,28278.0,0.35
Onions bulb ⁿ-2016-04,Onions bulb ⁿ,2016.0,4.0,12004.0,35112.0,0.34
Tomatoes roma (plum) -2012-05,Tomatoes roma (plum),2012.0,5.0,1353.0,2981.0,0.45
Mushrooms other -2012-10,Mushrooms other,2012.0,10.0,794.0,147.0,5.39
Sweet potatoes -2013-07,Sweet potatoes,2013.0,7.0,6737.0,19937.0,0.34
Lettuce other -2015-04,Lettuce other,2015.0,4.0,29111.0,39332.0,0.74
Onions bulb ⁿ-2014-12,Onions bulb ⁿ,2014.0,12.0,11928.0,52849.0,0.23
Eggplant -2013-11,Eggplant,2013.0,11.0,1651.0,2607.0,0.63
Broccoli -2013-01,Broccoli,2013.0,1.0,9225.0,12435.0,0.74
Onions bulb ⁿ-2012-08,Onions bulb ⁿ,2012.0,8.0,19156.0,65824.0,0.29
Carrots -2012-08,Carrots,2012.0,8.0,6214.0,10589.0,0.59
Snap beans -2016-03,Snap beans,2016.0,3.0,3551.0,2781.0,1.28
Cabbage -2013-12,Cabbage,2013.0,12.0,2240.0,6940.0,0.32
Mushrooms Agaricus ⁿ-2015-08,Mushrooms Agaricus ⁿ,2015.0,8.0,1000.0,679.0,1.47
Onions bulb ⁿ-2015-09,Onions bulb ⁿ,2015.0,9.0,17814.0,78969.0,0.23
Sweet corn -2015-08,Sweet corn,2015.0,8.0,866.0,1851.0,0.47
Onions bulb ⁿ-2014-01,Onions bulb ⁿ,2014.0,1.0,19515.0,66331.0,0.29
Celery -2016-02,Celery,2016.0,2.0,8726.0,22059.0,0.4
Garlic -2013-03,Garlic,2013.0,3.0,733.0,890.0,0.82
Lettuce other -2016-08,Lettuce other,2016.0,8.0,0.0,0.0,0.0
Cucumbers -2013-06,Cucumbers,2013.0,6.0,1847.0,3508.0,0.53
Endive/escarole -2015-07,Endive/escarole,2015.0,7.0,452.0,437.0,1.03
Artichokes -2012-06,Artichokes,2012.0,6.0,312.0,494.0,0.63
Carrots -2016-11,Carrots,2016.0,11.0,0.0,0.0,0.0
Brussels sprouts -2012-05,Brussels sprouts,2012.0,5.0,344.0,414.0,0.83
Tomatoes roma (plum) -2014-10,Tomatoes roma (plum),2014.0,10.0,838.0,1291.0,0.65
Lettuce head ⁿ-2012-09,Lettuce head ⁿ,2012.0,9.0,8985.0,26623.0,0.34
Lettuce other -2015-12,Lettuce other,2015.0,12.0,31425.0,38024.0,0.83
Green peas -2012-02,Green peas,2012.0,2.0,861.0,517.0,1.66
Sweet corn -2014-02,Sweet corn,2014.0,2.0,1237.0,2689.0,0.46
Cabbage -2016-05,Cabbage,2016.0,5.0,0.0,0.0,0.0
Cauliflower -2015-11,Cauliflower,2015.0,11.0,9941.0,13566.0,0.73
Celery -2014-04,Celery,2014.0,4.0,6863.0,24574.0,0.28
Lettuce other -2016-11,Lettuce other,2016.0,11.0,0.0,0.0,0.0
Brussels sprouts -2012-06,Brussels sprouts,2012.0,6.0,267.0,253.0,1.05
Artichokes -2013-06,Artichokes,2013.0,6.0,344.0,494.0,0.7
Endive/escarole -2012-05,Endive/escarole,2012.0,5.0,719.0,873.0,0.82
Truffles -2014-10,Truffles,2014.0,10.0,16.0,18.0,0.89
Lettuce other -2013-06,Lettuce other,2013.0,6.0,28550.0,35631.0,0.8
Artichokes -2014-02,Artichokes,2014.0,2.0,386.0,484.0,0.8
Eggplant -2016-04,Eggplant,2016.0,4.0,975.0,1629.0,0.6
Sweet corn -2013-07,Sweet corn,2013.0,7.0,7841.0,25328.0,0.31
Peppers ⁿ-2012-03,Peppers ⁿ,2012.0,3.0,7019.0,10908.0,0.64
Carrots -2013-10,Carrots,2013.0,10.0,5474.0,9293.0,0.59
Sweet corn -2012-02,Sweet corn,2012.0,2.0,1810.0,5232.0,0.35
Eggplant -2014-05,Eggplant,2014.0,5.0,1625.0,2699.0,0.6
Onions bulb ⁿ-2016-11,Onions bulb ⁿ,2016.0,11.0,0.0,0.0,0.0
Mushrooms other -2013-08,Mushrooms other,2013.0,8.0,295.0,72.0,4.08
Beets -2013-03,Beets,2013.0,3.0,1970.0,4606.0,0.43
